site_id,well_id,cell_type,experiment,plate,well,site,treatment,treatment_conc,treatment_class,directory,class,label
HUVEC-1_5_B24_1,HUVEC-1_5_B24,HUVEC,HUVEC-1,5,B24,1,Activin-A,0.0009999999999999,Growth factor,HUVEC-1/Plate5/B24_s1,Cytokine-GF,0
HUVEC-1_5_B24_2,HUVEC-1_5_B24,HUVEC,HUVEC-1,5,B24,2,Activin-A,0.0009999999999999,Growth factor,HUVEC-1/Plate5/B24_s2,Cytokine-GF,0
HUVEC-1_5_B24_3,HUVEC-1_5_B24,HUVEC,HUVEC-1,5,B24,3,Activin-A,0.0009999999999999,Growth factor,HUVEC-1/Plate5/B24_s3,Cytokine-GF,0
HUVEC-1_5_B24_4,HUVEC-1_5_B24,HUVEC,HUVEC-1,5,B24,4,Activin-A,0.0009999999999999,Growth factor,HUVEC-1/Plate5/B24_s4,Cytokine-GF,0
HUVEC-1_5_L34_1,HUVEC-1_5_L34,HUVEC,HUVEC-1,5,L34,1,Activin-A,0.0009999999999999,Growth factor,HUVEC-1/Plate5/L34_s1,Cytokine-GF,0
HUVEC-1_5_L34_2,HUVEC-1_5_L34,HUVEC,HUVEC-1,5,L34,2,Activin-A,0.0009999999999999,Growth factor,HUVEC-1/Plate5/L34_s2,Cytokine-GF,0
HUVEC-1_5_L34_3,HUVEC-1_5_L34,HUVEC,HUVEC-1,5,L34,3,Activin-A,0.0009999999999999,Growth factor,HUVEC-1/Plate5/L34_s3,Cytokine-GF,0
HUVEC-1_5_L34_4,HUVEC-1_5_L34,HUVEC,HUVEC-1,5,L34,4,Activin-A,0.0009999999999999,Growth factor,HUVEC-1/Plate5/L34_s4,Cytokine-GF,0
HUVEC-1_5_R42_1,HUVEC-1_5_R42,HUVEC,HUVEC-1,5,R42,1,Activin-A,0.0009999999999999,Growth factor,HUVEC-1/Plate5/R42_s1,Cytokine-GF,0
HUVEC-1_5_R42_2,HUVEC-1_5_R42,HUVEC,HUVEC-1,5,R42,2,Activin-A,0.0009999999999999,Growth factor,HUVEC-1/Plate5/R42_s2,Cytokine-GF,0
HUVEC-1_5_R42_3,HUVEC-1_5_R42,HUVEC,HUVEC-1,5,R42,3,Activin-A,0.0009999999999999,Growth factor,HUVEC-1/Plate5/R42_s3,Cytokine-GF,0
HUVEC-1_5_R42_4,HUVEC-1_5_R42,HUVEC,HUVEC-1,5,R42,4,Activin-A,0.0009999999999999,Growth factor,HUVEC-1/Plate5/R42_s4,Cytokine-GF,0
HUVEC-1_6_AE22_1,HUVEC-1_6_AE22,HUVEC,HUVEC-1,6,AE22,1,Activin-A,0.0009999999999999,Growth factor,HUVEC-1/Plate6/AE22_s1,Cytokine-GF,0
HUVEC-1_6_AE22_2,HUVEC-1_6_AE22,HUVEC,HUVEC-1,6,AE22,2,Activin-A,0.0009999999999999,Growth factor,HUVEC-1/Plate6/AE22_s2,Cytokine-GF,0
HUVEC-1_6_AE22_3,HUVEC-1_6_AE22,HUVEC,HUVEC-1,6,AE22,3,Activin-A,0.0009999999999999,Growth factor,HUVEC-1/Plate6/AE22_s3,Cytokine-GF,0
HUVEC-1_6_AE22_4,HUVEC-1_6_AE22,HUVEC,HUVEC-1,6,AE22,4,Activin-A,0.0009999999999999,Growth factor,HUVEC-1/Plate6/AE22_s4,Cytokine-GF,0
HUVEC-1_6_K34_1,HUVEC-1_6_K34,HUVEC,HUVEC-1,6,K34,1,Activin-A,0.0009999999999999,Growth factor,HUVEC-1/Plate6/K34_s1,Cytokine-GF,0
HUVEC-1_6_K34_2,HUVEC-1_6_K34,HUVEC,HUVEC-1,6,K34,2,Activin-A,0.0009999999999999,Growth factor,HUVEC-1/Plate6/K34_s2,Cytokine-GF,0
HUVEC-1_6_K34_3,HUVEC-1_6_K34,HUVEC,HUVEC-1,6,K34,3,Activin-A,0.0009999999999999,Growth factor,HUVEC-1/Plate6/K34_s3,Cytokine-GF,0
HUVEC-1_6_K34_4,HUVEC-1_6_K34,HUVEC,HUVEC-1,6,K34,4,Activin-A,0.0009999999999999,Growth factor,HUVEC-1/Plate6/K34_s4,Cytokine-GF,0
HUVEC-1_6_Y46_1,HUVEC-1_6_Y46,HUVEC,HUVEC-1,6,Y46,1,Activin-A,0.0009999999999999,Growth factor,HUVEC-1/Plate6/Y46_s1,Cytokine-GF,0
HUVEC-1_6_Y46_2,HUVEC-1_6_Y46,HUVEC,HUVEC-1,6,Y46,2,Activin-A,0.0009999999999999,Growth factor,HUVEC-1/Plate6/Y46_s2,Cytokine-GF,0
HUVEC-1_6_Y46_3,HUVEC-1_6_Y46,HUVEC,HUVEC-1,6,Y46,3,Activin-A,0.0009999999999999,Growth factor,HUVEC-1/Plate6/Y46_s3,Cytokine-GF,0
HUVEC-1_6_Y46_4,HUVEC-1_6_Y46,HUVEC,HUVEC-1,6,Y46,4,Activin-A,0.0009999999999999,Growth factor,HUVEC-1/Plate6/Y46_s4,Cytokine-GF,0
HUVEC-2_5_AE17_1,HUVEC-2_5_AE17,HUVEC,HUVEC-2,5,AE17,1,Activin-A,0.0009999999999999,Growth factor,HUVEC-2/Plate5/AE17_s1,Cytokine-GF,0
HUVEC-2_5_AE17_2,HUVEC-2_5_AE17,HUVEC,HUVEC-2,5,AE17,2,Activin-A,0.0009999999999999,Growth factor,HUVEC-2/Plate5/AE17_s2,Cytokine-GF,0
HUVEC-2_5_AE17_3,HUVEC-2_5_AE17,HUVEC,HUVEC-2,5,AE17,3,Activin-A,0.0009999999999999,Growth factor,HUVEC-2/Plate5/AE17_s3,Cytokine-GF,0
HUVEC-2_5_AE17_4,HUVEC-2_5_AE17,HUVEC,HUVEC-2,5,AE17,4,Activin-A,0.0009999999999999,Growth factor,HUVEC-2/Plate5/AE17_s4,Cytokine-GF,0
HUVEC-2_5_N42_1,HUVEC-2_5_N42,HUVEC,HUVEC-2,5,N42,1,Activin-A,0.0009999999999999,Growth factor,HUVEC-2/Plate5/N42_s1,Cytokine-GF,0
HUVEC-2_5_N42_2,HUVEC-2_5_N42,HUVEC,HUVEC-2,5,N42,2,Activin-A,0.0009999999999999,Growth factor,HUVEC-2/Plate5/N42_s2,Cytokine-GF,0
HUVEC-2_5_N42_3,HUVEC-2_5_N42,HUVEC,HUVEC-2,5,N42,3,Activin-A,0.0009999999999999,Growth factor,HUVEC-2/Plate5/N42_s3,Cytokine-GF,0
HUVEC-2_5_N42_4,HUVEC-2_5_N42,HUVEC,HUVEC-2,5,N42,4,Activin-A,0.0009999999999999,Growth factor,HUVEC-2/Plate5/N42_s4,Cytokine-GF,0
HUVEC-2_5_R45_1,HUVEC-2_5_R45,HUVEC,HUVEC-2,5,R45,1,Activin-A,0.0009999999999999,Growth factor,HUVEC-2/Plate5/R45_s1,Cytokine-GF,0
HUVEC-2_5_R45_2,HUVEC-2_5_R45,HUVEC,HUVEC-2,5,R45,2,Activin-A,0.0009999999999999,Growth factor,HUVEC-2/Plate5/R45_s2,Cytokine-GF,0
HUVEC-2_5_R45_3,HUVEC-2_5_R45,HUVEC,HUVEC-2,5,R45,3,Activin-A,0.0009999999999999,Growth factor,HUVEC-2/Plate5/R45_s3,Cytokine-GF,0
HUVEC-2_5_R45_4,HUVEC-2_5_R45,HUVEC,HUVEC-2,5,R45,4,Activin-A,0.0009999999999999,Growth factor,HUVEC-2/Plate5/R45_s4,Cytokine-GF,0
HUVEC-2_6_P02_1,HUVEC-2_6_P02,HUVEC,HUVEC-2,6,P02,1,Activin-A,0.0009999999999999,Growth factor,HUVEC-2/Plate6/P02_s1,Cytokine-GF,0
HUVEC-2_6_P02_2,HUVEC-2_6_P02,HUVEC,HUVEC-2,6,P02,2,Activin-A,0.0009999999999999,Growth factor,HUVEC-2/Plate6/P02_s2,Cytokine-GF,0
